author,label,party,state,PEC135,ideology_2021,mean_page_followers,louvain_community,degree,strength,total_posts,total_image_posts,total_video_posts,total_text_posts,total_engagement,mean_engagement,Q1,Q2,Q3,is_wolf
gildemarmatoscoach,Gildemar Matos Coach,NotAvailable,NotAvailable,0,NA,0,39,0,0,8,8,0,0,78,9.75,0,0,0,0
hugomottapb,Hugo Motta,REPUBLICANOS,PB,0,0.55,46136.340770791074,40,0,0,1479,1251,217,11,182282,123.24678837052062,0,0,0,0
institutoluizflaviogomes,Luiz Flávio Gomes,PSB,SP,0,-0.427,396719.34430727025,41,0,0,729,349,276,104,966936,1326.3868312757202,0,0,0,0
joaoromaneto,João Roma,REPUBLICANOS,BA,0,0.55,39255.95041705282,42,0,0,2158,1271,479,408,1136551,526.6686746987951,0,0,0,0
Juniorlourencobonfim,Junior Lourenço,PL,MA,0,0.493,2029.4716981132076,43,0,0,61,52,8,1,3259,53.42622950819672,0,0,0,0
LeandreOficial,Leandre Dal Ponte,PSD,PR,1,0.296,40490.56893325016,44,0,0,1603,945,333,325,148717,92.77417342482845,1,0,0,0
LizianeBayer,Liziane Bayer,REPUBLICANOS,RS,1,0.55,45246.88867235079,45,0,0,4105,3467,365,273,485719,118.3237515225335,8,1,0,0
luistibeoficial,Luis Tibé,AVANTE,MG,0,0.455,44845.71120689655,46,0,0,696,503,189,4,123705,177.73706896551724,5,1,0,0
marabocaabertaparana,Boca Aberta,PROS,PR,1,0.19,438118.80124575313,47,0,0,1766,649,999,118,11127588,6301.012457531144,2,2,1,0
MarlonSantosPolitico,Marlon Santos,PL,RS,1,0.493,199208.82375478928,48,0,0,522,219,262,41,2790539,5345.860153256705,0,0,0,0
MauricioBacelarOficial,Maurício Bacelar,PV,BA,0,-0.069,15970.392761394101,49,0,0,746,634,78,34,28855,38.679624664879356,0,0,0,0
miguellombardi.deputadofederal,Miguel Lombardi,PL,SP,1,0.493,115025.73459958933,50,0,0,1948,1236,602,110,241017,123.72535934291581,2,0,0,0
onyx.lorenzoni,Onyx Lorenzoni,DEM,RS,0,0.431,362439.1286549708,51,0,0,684,282,381,21,4388088,6415.333333333333,0,0,0,0
pastorabiliosantana,Abílio Santana,PSC,BA,0,0.596,103656.6,52,0,0,11,5,5,1,1817,165.1818181818182,0,0,0,0
pedrolucasfernandesdeputadofederal,Pedro Lucas Fernandes,PTB,MA,0,0.455,30422.006451612902,53,0,0,620,511,103,6,49983,80.61774193548388,0,0,0,0
tiririca,Tiririca,PL,SP,0,0.493,2617348.7621359224,54,0,0,1442,121,1320,1,37714096,26154.019417475727,0,0,0,0
vitorlippi,Vitor Lippi,PSDB,SP,0,0.157,136177.3125191307,55,0,0,3267,1937,1255,75,725472,222.06060606060606,4,1,0,0
