community_number,n_members,n_wolves,Q1_posts,Q2_posts,Q3_posts,top_domains,n_domains,top_hashtags,n_hashtags,top_terms,n_posts,total_engagement,mean_engagement
11,1,0,1,0,0,boscosaraiva; instagram; acritica; band; bncamazonas; bit.ly; manaus.am.gov.br; portalprestacaodecontasam; radiopeaobrasil; redacaoam; chumbogrossomanaus; portaldoholanda; solidariedade; veja; google,0.9999999999999999,historia; curiosidade; cdeics; zonafrancademanaus; cultura; seriedade; camarafederal; compromisso; biografia; desenvolvimentoeconomico; zfm; servicos; deputadoestadual; industria; comercio,0.9999999999999994,manauscity; play; cdeics; amazonasmeuamor; apertar; camarafederal; zonafrancademanau; deputadoestadual; desenvolvimentoeconomico; zonafrancademanaus; franco; curiosidade; autaz; prosamim; amazonia; manausam; seriedade; urucar; biografia; uatum,2324,208953,89.91092943201377
12,1,0,3,0,0,clmais; nsctotal; jornalomomento; noticianoato; youtube; carmenzanotto; camara.leg.br; blogdoprisco; amures; folha; senado.leg.br; g1.globo; folhadaserra2; olivetesalmoria; alesc.sc.gov.br,1.0000000000000002,serracatarinense; enfermeira; enfermagem; juntoscontraocoronavirus; sus; eleicoes2020; juntossomosmaisfortes; vemcomigo; pisosalarialenfermagem; pl2564; acs; cancer; pisodaenfermagem; vacinacovid; br282,0.9999999999999999,serracatarinense; bonfa; lage; emilia; juntoscontraocoronavirus; lageano; amur; carmenzanottolages; eleicoes2020; juntossomosmaisforte; vemcomigo; serrano; deputadafeferal; indiquei; pisosalarialenfermagem; apae; destaquei; diagnostico; pisodaenfermagem; uniplac,2819,820524,291.069173465768
13,12,1,41,23,1,domingossavio; josemario; christinoaureo; google; deputadosergiosouza; veja; youtube; arnaldojardim; portaltanosite; gauchazh.clicrbs; pedrolupion; folha; estadao; fpagropecuaria; cnnbrasil,11,agro; agricultura; agroforte; brasilforte; agropecuaria; fpa; campo; produtorrural; sustentabilidade; pecuaria; educacao; maisacao; agronegocio; economia; meioambiente,11.999999999999993,agro; felte; agropecuaria; pecuaria; agronegocio; agropecuario; produtorrural; agricola; safra; divinopoli; faeg; ministra; cooperativismo; sustentavel; brasilacimadetudo; camaradeputado; giovanifelte; cooperativa; agroforte; fiagro,25132,4523923,180.00648575521248
14,1,0,4,3,0,agricultura.rs.gov.br; gauchazh.clicrbs; estado.rs.gov.br; expointer.rs.gov.br; radioclubfm.net; jornaldocomercio; veja; revistagloborural.globo; globoplay.globo; band; cavalgadanataldobem; ecoregional; informativo; tuaradio.link; g1.globo,1.0000000000000002,trabalhoderesultado; expointer2019; oagronaopodeparar; expodireto; expointer; fundacaomiltoncampos; cavalocrioulo; emater; agricultura; avancar; agriculturafamiliar; eleicoes2020; febreaftosa; estiagem; agro,1.0000000000000002,trabalhoderesultar; expointer; governors; pecuaria; aftoso; aftosa; expodireto; agro; ematerrsascar; estiagem; agriculturar; cotrijal; expointer2019; suinocultura; status; oagronaopodeparar; ematerrs; febre; safra; irrigacao,1803,593045,328.92124237382143
15,1,0,2,1,0,daniel45; veja; estado.rs.gov.br; gauchazh.clicrbs; globoplay.globo; pelotas; diariopopular; ufpel.edu.br; jornaltradicao; psdbnacamara; google; gazetadopovo; twitter; ebc; youtube,0.9999999999999998,duplicacaoja; infraestrutura; juntossomosmais; br116; vacinacaoja; pedagio; prisaoemsegundainstancia; brigadamilitar; pinheiromachado; santavitoriadopalmar; previaspsdb; maisturismo; prestacaodecontas; 70anos; diadoorgulholgbtqia,1.0000000000000002,pelota; lucian; brum; pedagio; duplicacao; pelotense; duplicacaoja; ufpel; doceira; federaldaniel; requalificacao; arroio; fenadoce; ecosul; expofeira; auxiliomudanca; brigada; doceiro; tarifa; lourenco,1472,633071,430.0754076086956
16,2,0,3,0,0,hearthis.at; depeduardocosta.blogspot; reportermaceio; ptbnacamara; ptb; exame; soundcloud; veja; sbt; folha; gazetadopovo; cartacapital; oliberal; oestadonet; fapesp.br,1.9999999999999998,meupara; credibilidade; desenvolvimento; compromisso; confianca; boravacinar; pl399sim; canabidiol; medicos; revalida; respeito; previdencia; reforma; mp890; funasa,0.9999999999999991,embalo; abatedouro; girau; ponciano; potro; funasa; umnovoptb; cannabis; cauc; mangalarga; brazil; arma; listen; saneamento; timboteua; barbalho; acessoa; bucal; sertanejo; eletrificacao,2522,519972,206.1744647105472
17,1,0,0,0,0,bilacpinto; hojeemdia; otempo; twitter; youtube; cnn; cnnbrasil; extra.globo; 019agora; 15binao; 180graus; 18horas; 1news; 24h; 24horas,1.0000000000000002,NA,0,prezar; zema; sapucai; romeu; rita; wander; santarritense; pouso; reuner; ciente; marmelopoli; paraisopoli; patrus; jeffinho; despedir; compromissar; bemestar; figura; viceprefeito; christian,429,26359,61.442890442890445
18,1,0,1,0,0,NA,0,segueolider; covid; vacina; mascara; pandemia; fiqueemcasa; mandatoemacao; cuidados; governofederal; bomdescanso; ministeriodasaude; covid19; vacinometro; olimpiadas; 33anos,0.9999999999999994,aldigueri; elizeu; segueolider; exprefeito; emancipacao; areninha; amontar; flavia; evandroleitao; camilosantanaoficial; romeu; reuni; municipe; aquila; heltonluis; deputadonizocosta; divaldosoar; camilo; paroco; jijoca,1374,84997,61.86098981077147
19,1,0,2,2,0,deputadanormaayub; normaayub25; instagram; aleteia; veja; extra.globo; folhavitoria; g1.globo; folha; exame; avozdascidades; hifa; youyes; glo.bo; democratas,1,cachoeirodeitapemirim; votecerto; saudeeprioridade; mandatotransparente; eleicoes; 34anos; emancipacaopolitica; cachoeiro; 58anos; recurso; comissaodoidoso; santacasa; emendaparlamentar; emendapaga; maissaude,1.0000000000000002,marataiz; cachoeiro; ferraco; jander; empenhar; nama; beijo; evangelico; theodorico; cachoeirodeitapemirim; apae; vivacqua; storie; asilo; emancipacao; papai; votecerto; venecia; brilho; lindenberg,2281,681868,298.93380096448925
20,1,0,0,0,0,amhoje; bncamazonas; exame; youtube; veja; glo.bo; extra.globo; folha; 019agora; 15binao; 180graus; 18horas; 1news; 24h; 24horas,1,campanhapolitica; novaolindadonorte; faltam2dias; 2deoutubro; benjaminconstant; interior; 20dias; riopretodaeva; trends; ifam; 128anos; votar; 5desetembro; eleicoes22; campanhaeleitoral,0.9999999999999998,ifam; belarmino; tonantim; autaz; depatilalim; constant; estadio; gean; adenilson; benjamin; bocadoacre; bermeguy; wilson; mabi; boca; jocione; desportista; exprefeito; solimoes; normar,711,177357,249.44725738396625
