community_number,n_members,n_wolves,Q1_posts,Q2_posts,Q3_posts,top_domains,n_domains,top_hashtags,n_hashtags,top_terms,n_posts,total_engagement,mean_engagement
45,1,0,8,1,0,lizianebayer; radios; camara.leg.br; expansao.co; gauchazh.clicrbs; reporterbrasilia; portaldecamaqua; veja; francianebayer; google; exame; republicanos10; folha; osul; atmosferaonline,0.9999999999999993,pelavida; mandatofederal; mandato; missao; compromisso; naestrada; vamosjuntos; mulheresnapolitica; ministerio; pelafamilia; agoraefederal; emendasparlamentares; emendaparlamentar; juntospelavida; agendaembrasilia,0.9999999999999997,franciane; mandatofederal; assessoria; peloproximo; iigd; lizianebayeroficial; pelaver; suicidio; assessorio; assessoriar; kisuco; namidir; automutilacao; elaine; pelors; evangelicar; dialogar; mana; naestrar; igreja,4105,485719,118.3237515225335
46,1,0,5,1,0,NA,0,avantebrasil; emendaparlamentar; projetodelei; pandemia; coronavirus; arthurlirapresidente; homenagem; codevasf; reformapolitica; honraria; eleicoesmunicipais; eleicoes2020; minascomlula; bomdespacho; prevencao,1.0000000000000004,pensandoavante; avantenacional; avantemg; codevasf; emendaparlamentar; avantebrasil; arear; projetodelei; arlensantiagooficial; avelar; isidorio; codevasfr; vales; strar; conegomarinho; matia; mamona; machacali; liderancas; viceprefeito,696,123705,177.73706896551724
47,1,0,2,2,1,portalpovo; prosnacamara; gazetanewspr; 24horas; portalbocaaberta; veja; folha; exame; gazetadopovo; 24h; correiopioneiro; istoeparana; portalcambe; vejaparana; blogdotupan,1.0000000000000002,NA,0,estasempre; londrinense; pedagio; bijuteria; ponta; busao; bambu; belinati; domingao; perfume; cmtu; taroba; estalar; mara; aberto; carrancudo; londrino; rasgar; vergonha; bocar,1766,11127588,6301.012457531144
48,1,0,0,0,0,bemplease; contradita; youtube; veja; lojaintegrada; google; glo.bo; 019agora; 15binao; 180graus; 18horas; 1news; 24h; 24horas; 360meridianos,1.0000000000000002,espiritualidade; reflexao; opiniao; virus; pandemia; curiosidades; covid19; politica; midia; cura; noticia; animaldeestimacao; eutanasia; comportamento; morte,1.0000000000000002,mediunico; mediunidade; aplicativo; baixar; baixe; contraditar; tatsch; baixinho; espiritualidade; youtube; carma; desculpa; carimbado; instagram; moletta; salvi; espinho; gincana; porrete; cientista,522,2790539,5345.860153256705
49,1,0,0,0,0,politicalivre; bahianoticias; adab.ba.gov.br; bahiasemfronteiras; correio24horas; diocesedecamacari; bahiaeconomica; destaque1; ipolitica.blog.br; portaldotransito; radiometropole; bnews; bahia.ba; atarde; band,1,defesaagropecuaria; lula13presidente; jeronimogovernador; turismorural; capoeira; ottosenador; 2dejulho; santadulcedospobres; maioamarelo; chapadadiamantina; chocolate; senhordobonfim; fiqueemcasa; timedelula; soja,0.9999999999999999,seturbahia; adab; adabr; govba; defesaagropecuarir; turistico; aftoso; todosossanto; chocolate; chocolat; bubalino; nautico; baia; baiadetodosossanto; agropecuario; arembepe; doestar; febre; setur; laticinio,746,28855,38.679624664879356
50,1,0,2,0,0,deputadomiguellombardi; 019agora; flickr; je10; rapidonoar; veja; extra.globo; elimeira; j1diario; youtube; camara.leg.br; issuu; cidadeazulnoticias; diariodejustica; educadoraam,1.0000000000000007,vicentinos; rioclaro; ssvp; saocarlos; casabranca; santagertrudes; novaodessa; bragancapaulista; emdefesadosuas; catolicos; missao; assistenciasocial; terceirosetor; limeirasp; engenheirocoelho,0.9999999999999999,vicentino; iracemapoli; rioclaro; saocarlos; ssvpbrasil; santagertrude; casabranca; botion; cordeiropoli; bragancapaulista; confrade; limeiro; novaodesso; charquear; adinan; americano; abencoe; ortolan; novaodessa; brota,1948,241017,123.72535934291581
51,1,0,0,0,0,onyxlorenzoni; clarin; youtube; casacivil.gov.br; cidadania.gov.br; larazon.es; gazetadopovo; time; band; brasilsemmedo; correiobraziliense; folha; cnn; jovempan; veja,1,onyx22; bolsonaro22; bolsonaro; fechadocombolsonaro; bolsonaroreeleito2022; patriaamadabrasil; vote22; issoecidadania; bolsonaro2022; ninguemficaparatras; patriamadabrasil; 20desetembro; 500dias; primeirainfancia; fechadocombolsonaro2022,1.0000000000000002,onyx22; bolsonaro22; fechatudo; narrativa; extremaimprensa; esquerda; fechadocombolsonaro; bolsonaroreeleito2022; transformacao; patriaamadabrasil; vote22; governar; empilhar; venezuelano; mentira; operacao; patria; corrupcao; amado; esquerdista,684,4388088,6415.333333333333
52,1,0,0,0,0,NA,0,profecia; 01demaio; 02dejulho; 02deoutubro; 02outforabolsonaro; 05dejunho; 07desetembro; 08demarco; 1000dias; 1000diasdemandato; 1000diassemjustica; 1000diassemmarielle; 1000diassemrespostas; 100anos; 100anospaulofreire,1,feliciano; teologia; orepelobrasil; aqual; orar; emfavor; gideoes; ocoracao; devoce; prosperidade; divertir; deportar; profecia; causo; missionar; adorar; servo; recado; comunismo; conclamar,11,1817,165.1818181818182
53,1,0,0,0,0,oimparcial; ptbnacamara; pedreirasoficial.blogspot; exame; uol; veja; 019agora; 15binao; 180graus; 18horas; 1news; 24h; 24horas; 360meridianos; 3dejulhonoticias,1,ifma; governodomaranhao; vacinaparatodosja; prefeituradesaoluis; ilhadoamor; saoluis; campanhapolitica; governoma; humbertodecampos; monoculares; saoluis407anos; campanhaeleitoral2020; vidamarinha; familiascarentes; cla,1,pedrolucasfernande; carlosbrandaoma; esperantinopoli; makerepost; povoado; flaviodino; ifma; exprefeito; agem; curio; dino; livio; monocular; patrulha; ribamar; lumiar; trizidela; gordinho; jenipapo; turu,620,49983,80.61774193548388
54,1,0,0,0,0,NA,0,humor; relacionamento; record; casal; celular; sbt; videos; familia; comedia; tiktok; sitio; cerveja; aviso; challenge; canetaazul,1.0000000000000002,nana; abestar; marquar; magalhaes; avisar; bofe; rederecord; nano; calbertonobrega; sorrir; casal; acordar; mininu; humor; nasa; record; pegar; coisar; cuca; roer,1442,37714096,26154.019417475727
55,1,0,4,1,0,vitorlippi; veja; jornalcruzeiro; jovempan; g1.globo; whatsapp; folha; exame; infomoney; estadao; uol; gazetadevotorantim; temmais; jornalipanema; teletime,1,trabalhoparlamentar; emprego; epidemia; tecnologia; regiao; inovacao; saudepublica; empregos; iot; covid_19; capaobonito; capeladoalto; industria; estradas; saoroque,1.0000000000000002,amary; inovacao; trabalhoquedaresultar; governosp; trabalhoparlamentar; lange; capao; sorocabano; sudoeste; policlinica; marum; cesario; poupatempo; etec; roque; toyota; gpaci; vicinal; pilardosul; cirurgia,3267,725472,222.06060606060606
