category,domain,n_mentions,n_posts,n_authors,n_linked,n_text_mentions
Q2,uol,27,25,19,0,27
Q2,gazetadopovo,29,21,13,5,24
Q2,noticias.uol,19,19,13,19,0
Q2,oglobo.globo,21,18,15,9,12
Q2,cnn,19,18,15,0,19
Q2,cartacapital,22,15,11,8,14
Q2,poder360,19,15,11,2,17
Q2,cnnbrasil,17,15,12,4,13
Q2,oantagonista,22,14,13,4,18
Q2,brasil247,14,14,8,14,0
Q2,correiobraziliense,14,14,13,5,9
Q2,terrabrasilnoticias,15,12,5,0,15
Q2,ptnacamara,12,12,4,12,0
Q2,youtube,11,11,8,11,0
Q2,revistaforum,10,10,5,10,0
Q2,brasilsemmedo,10,8,5,2,8
Q2,r7,8,8,7,3,5
Q2,istoe,9,7,4,0,9
Q2,tercalivre,7,6,5,0,7
Q2,revistaoeste,6,6,2,6,0
Q2,bbc,9,5,4,3,6
Q2,yahoo,4,4,4,1,3
Q2,washingtonpost,5,3,3,1,4
Q2,congressoemfoco,3,3,3,3,0
Q2,google,3,3,3,3,0
Q2,mblnews,3,3,1,3,0
Q2,metropoles,3,3,2,3,0
Q2,midianinja,3,3,3,0,3
Q2,pt,3,3,2,3,0
Q2,extra.globo,3,2,2,0,3
Q2,camara.leg.br,2,2,2,2,0
Q2,elpais,2,2,2,2,0
Q2,exame,2,2,1,0,2
Q2,infomoney,2,2,2,1,1
Q2,renovamidia,2,2,2,0,2
Q2,socialismocriativo,2,2,2,2,0
Q2,theguardian,2,2,2,0,2
Q2,arede.info,1,1,1,1,0
Q2,aureacarolina,1,1,1,1,0
Q2,blogs.globo,1,1,1,1,0
Q2,brasildefato,1,1,1,1,0
Q2,carloszarattini,1,1,1,1,0
Q2,coalizaonegrapordireitos,1,1,1,0,1
Q2,correiodopovo,1,1,1,1,0
Q2,cultura,1,1,1,1,0
Q2,cut,1,1,1,1,0
Q2,deputadopauloramosrj,1,1,1,1,0
Q2,diariodocentrodomundo,1,1,1,1,0
Q2,diretodoplanalto,1,1,1,1,0
Q2,disparada,1,1,1,1,0
Q2,doutorfrederico,1,1,1,1,0
Q2,estadodedireitosempre,1,1,1,1,0
Q2,focus.jor.br,1,1,1,1,0
Q2,folhadoacre,1,1,1,1,0
Q2,gauchazh.clicrbs,1,1,1,1,0
Q2,jornalbrasilonline,1,1,1,1,0
Q2,lulalivre,1,1,1,1,0
Q2,magdamofatto,1,1,1,1,0
Q2,minutomt,1,1,1,1,0
Q2,ms1noticias,1,1,1,1,0
Q2,muitainformacao,1,1,1,1,0
Q2,olhardigital,1,1,1,1,0
Q2,otempo,1,1,1,1,0
Q2,outline,1,1,1,1,0
Q2,pauloeduardomartins,1,1,1,1,0
Q2,plural.jor.br,1,1,1,1,0
Q2,portalnovonorte,1,1,1,1,0
Q2,psol50,1,1,1,1,0
Q2,renataabreuoficial,1,1,1,1,0
Q2,reuters,1,1,1,0,1
Q2,romanews,1,1,1,1,0
Q2,saibamais.jor.br,1,1,1,1,0
Q2,senado.leg.br,1,1,1,1,0
Q2,soundcloud,1,1,1,1,0
Q2,sul21,1,1,1,1,0
Q2,thehack,1,1,1,1,0
Q2,tupi.fm,1,1,1,1,0
Q2,valmirassuncao,1,1,1,1,0
Q2,valor.globo,1,1,1,1,0
Q2,wsj,1,1,1,0,1
Q2,youtu.be,1,1,1,1,0
