Id	Label	author	party	state	PEC135	ideology_2021	louvain_community	degree	strength	total_posts	total_engagement	mean_engagement	Q1	Q2	is_wolf
deputadopastoreurico	Deputado Federal Pastor Eurico	deputadopastoreurico	PL	PE	1	0.493	2	14	14	4	651	162.75	1	1	0
deputadolincolnportela	Deputado Federal Lincoln Portela	deputadolincolnportela	PL	MG	1	0.493	2	12	12	13	74326	5717.384615384615	10	7	0
MarlonSantosPolitico	Marlon Santos	MarlonSantosPolitico	PL	RS	1	0.493	2	12	12	2	1153	576.5	0	0	0
adriventurasp	Adriana Ventura	adriventurasp	NOVO	SP	0	0.711	2	10	10	71	13316	187.54929577464787	4	1	0
edermauropa	Delegado Éder Mauro	edermauropa	PL	PA	1	0.493	2	8	8	98	428717	4374.663265306122	18	15	1
ProfessorAlcidesoficial	Professor Alcides	ProfessorAlcidesoficial	PL	GO	1	0.493	2	8	8	16	1445	90.3125	2	0	0
depsandroalex	Sandro Alex	depsandroalex	PSD	SP	0	0.296	2	7	7	2	718	359	0	0	0
depbilacpinto	depbilacpinto	depbilacpinto	NotAvailable	NotAvailable	0		2	6	6	0	0	0	0	0	0
deputadodavitoria	Da Vitoria	deputadodavitoria	PP	ES	1	0.51	2	5	5	22	1187	53.95454545454545	2	0	0
MarxBeltrao	Marx Beltrão	MarxBeltrao	PP	AL	1	0.51	2	5	5	14	5139	367.07142857142856	2	2	0
pauloazi	Paulo Azi	pauloazi	DEM	BA	0	0.431	2	5	5	10	722	72.2	0	0	0
alielmachado	Aliel Machado	alielmachado	PV	PR	0	-0.069	2	4	4	22	15594	708.8181818181819	7	1	0
deputadovermelho	Vermelho Deputado Federal	deputadovermelho	PL	PR	1	0.493	2	4	4	13	2341	180.07692307692307	6	5	0
joaobacelaroficial	joaobacelaroficial	joaobacelaroficial	NotAvailable	NotAvailable	0		2	4	4	0	0	0	0	0	0
deputado.atilalins	Deputado Átila Lins	deputado.atilalins	PSD	AM	1	0.296	2	2	2	7	2077	296.7142857142857	0	0	0
deputadofederalacaciofavacho	Acácio Favacho	deputadofederalacaciofavacho	MDB	AM	0	0.137	2	2	2	8	720	90	0	0	0
tiririca	tiririca	tiririca	NotAvailable	NotAvailable	0		2	1	1	0	0	0	0	0	0
