name,facebook_handle,twitter_handle,party,state
Da Vitoria,deputadodavitoria,depdavitoria,PP,ES
Dagoberto Nogueira,dagobertonogueirams,depdagoberto,PSDB,MS
Daniel Almeida,depdanielalmeida,Daniel_PCdoB,PCdoB,BA
Daniel Coelho,DanielCoelho23,DanielCoelho23,CIDADANIA,PE
Daniel Freitas,depdanielfreitas,DFDanielFreitas,PL,SC
Daniel Trzeciak,danieltrzeciak45,TrzeciakDaniel,PSDB,RS
Daniela Carneiro,danielacarneirooficial,,MDB,RJ
Danilo Cabral,danilocabralpe,danilocabralpe,PSB,PE
Darci de Matos,Depdarcidematos,depdarcidematos,PSD,SC
David Miranda,davidmirandario12,davidmirandario,PDT,RJ
David Soares,davidbrsoares,davidbrsoares,DEM,SP
Delegado Antonio Furtado,DelegadoAntonioFurtado,DelegadoFurtado,PSL,RJ
Delegado Éder Mauro,edermauropa,EderMauroPA,PL,PA
Delegado Felício Laterça,delegadofeliciolaterca,FederalFelicio,PP,RJ
Delegado Marcelo Freitas,delegadomarcelofreitas,DelegadoFreitas,PSL,MG
Delegado Pablo,DelegadoPablo,DelegadoPablo_,PSL,CE
Delegado Waldir,delegado.waldir,,PSL,GO
Denis Bezerra,Drdenisbezerra,denisbezerra,PSB,CE
Dep Chiquinho Brazão,depchiquinhobrazao,BrazaoChiquinho,AVANTE,RJ
Dep Pr Jefferson Campos,depjefferson,DepJefferson,PL,SP
Dep. Adriano do Baldy,AdrianoDoBaldyOficial,adrianodobaldy,PP,GO
Deputado Arnaldo Jardim,deputadoarnaldojardim,ArnaldoJardim,CIDADANIA,SP
Deputado Átila Lins,deputado.atilalins,,PSD,AM
Deputado Célio Silveira,celiosilveiradeputadogo,,MDB,GO
Deputado Coronel Chrisóstomo,DepCoronelChrisostomo,DepChrisostomo,PL,RO
Deputado Edio Lopes,deputadoediolopes,ediolopes,PL,RR
Deputado Federal Arthur Lira,arthurliradeputadofederal,ArthurLira_,PP,AL
Deputado Federal Bilac Pinto,depbilacpinto,depbilacpinto,DEM,MG
Deputado Federal Dimas Fabiano,depdimasfabiano.toledo,dimasfabianomg,PP,MG
Deputado Federal Genecias Noronha,DeputadoGeneciasNoronha,DepGenecias,PL,CE
Deputado federal Igor Kannário,deputadoigorkannario,deputadokannar1,DEM,BA
Deputado Federal Leo Motta,leomottafederal,leomotta_ofc,REPUBLICANOS,MG
Deputado Federal Lincoln Portela,deputadolincolnportela,lincoln_portela,PL,MG
Deputado Federal Nereu Crispim,nereucrispim,nereucrispim,PSD,RS
Deputado Federal Nicoletti,DeputadoNicoletti,depnicoletti,PSL,RR
Deputado Federal Pastor Eurico,deputadopastoreurico,,PL,PE
Deputado Federal Ricardo Izar,deputadoricardoizar,RicardoIzar,REPUBLICANOS,SP
Deputado Federal Rodrigo de Castro,rodrigocastroMG,MGRodrigoCastro,PSDB,MG
Deputado Federal Vicentinho,DeputadoFederalVicentinho,VICENTINHOPT,PT,SP
Deputado Federal Zé Silva,deputadofederalzesilva,ZeSilva_,SOLIDARIEDADE,MG
Deputado Jesus Sérgio,deputadoJesusSergio12,jesussergioac,PDT,AC
Deputado João Daniel,deputadojoaodaniel,depjoaodanielpt,PT,SE
Deputado João Marcelo,deputadojoaomarcelo,dep_joaomarcelo,MDB,MA
Deputado Marcelo Nilo,marcelonilodep,,REPUBLICANOS,BA
Deputado Marcon,deputadomarcon,deputadomarcon,PT,RS
Deputado Maurício Dziedricki,DepMauricioRS,DepMauricioRS,PODEMOS,RS
Deputado Nivaldo Albuquerque,deputadonivaldoalbuquerque,NivaldoAlbuq,REPUBLICANOS,AL
Deputado Olival Marques,olivalmarquesoficial,OLIVALMARQUES,MDB,PA
Deputado Paulo Freire Costa,deputadopaulofreire,DF_PauloFreire,PL,SP
Deputado Paulo Guedes,pauloguedesmg,deppauloguedes,PT,MG
