name,facebook_handle,twitter_handle,party,state,PEC135
Pedro Cunha Lima,pedrocloficial,pedroocl,PSDB,PB,0
Pedro Lucas Fernandes,pedrolucasfernandesdeputadofederal,depPedroLucasF,PTB,MA,0
Pedro Lupion,DeputadoPedroLupion,pedro_lupion,PP,PR,1
Pedro Paulo,rio.pedropaulo,pedropaulo,PSD,RJ,0
Pedro Uczai,PedroUczai,uczai,PT,SC,0
Pedro Westphalen,pedrowestphalen11,pedrowestphalen,PP,RS,
Perpétua Almeida,perpetuaalmeida.acre,perpetua_acre,PCdoB,AC,0
Pinheirinho Deputado Federal,joao,pinheirinhomg,PP,MG,
Policial Katia Sastre,policialkatiasastre,KatiaSastre,PL,SP,1
Pompeo de Mattos,pompeodemattospdt,PompeodeMattos,PDT,RS,1
Professor Alcides,ProfessorAlcidesoficial,,PL,GO,1
Professor Israel,profisrael,ProfIsrael,PSB,DF,0
Professor Joziel,professorjoziel,professorjoziel,PATRIOTA,RJ,1
Professora Dayane Pimentel,professoradayanepimentel,deppimentel,PSL,BA,0
Professora Dorinha,profdorinha,profdorinha,DEM,TO,0
Professora Marcivânia,profmarcivania,profmarcivania,PCdoB,AP,0
Professora Rosa Neide,ProfessoraRosaNeide,prof_rosaneide,PT,MT,0
Rafael Motta,rafaelmottarn,RafaelMottaRN,PSB,RN,0
Raimundo Costa,oficialraimundocosta,raimundocostaba,PODEMOS,BA,0
Raul Henry,RaulHenryPE,RaulHenry,MDB,PE,0
Reginaldo Lopes,reginaldolopesmg,ReginaldoLopes,PT,MG,0
Rejane Dias,rejaneribeiro.dias,rejane_dias/rejanediasPI,PT,PI,0
Renata Abreu,renataabreu1919,RenataAbreu1919,PODEMOS,SP,1
Renildo Calheiros,renildovcalheiros,renildo,PCdoB,PE,0
Ricardo Barros,RicardoBarrosOficial,RicardoBarrosPP,PP,PR,1
Ricardo Guidi,ricardozguidi,ricardozguidi,PSD,SC,1
Ricardo Teobaldo,deputadoricardoteobaldo,,PODEMOS,PE,1
Roberto Alves Republicanos,RobertoAlvesRepublicanos,RobertoAlves_10,REPUBLICANOS,SP,1
Roberto de Lucena,dep.lucena,robertodelucena,REPUBLICANOS,SP,
Roberto Pessoa,RobertoPessoaOficial,segueoRP,PSDB,SP,
Rodrigo Agostinho,RodrigoAgostinhoOficial,rodrigoagost,PSB,SP,0
Rodrigo Coelho,rodrigocoelhooficial,coelho_rodrigo,PODEMOS,SC,1
Rodrigo Maia,RodrigoMaiaRJ,RodrigoMaia,PSDB,RJ,0
Rogério Correia,deputadorogeriocorreia,RogerioCorreia_,PT,MG,0
Rogério Peninha Mendonça,deputadopeninha,deputadopeninha,MDB,SC,1
Ronaldo Carletto,RonaldoCarlettoOficial,ronaldocarletto,PP,BA,
Rosana Valle,RosanaValleOficial,DepRosanaValle,PL,SP,1
Rosangela Gomes,deputadarosangelagomes,rosangelasgomes,REPUBLICANOS,RJ,1
Rose Modesto,rosemodestoms,,REPUBLICANOS,MS,1
Rubens Bueno,23rubensbueno,23rubensbueno,CIDADANIA,PR,0
Rubens Jr,rubenspereirajrs,rubenspereirajr,PT,MA,0
Rubens Otoni,rubensotoni,RubensOtoni,PT,GO,0
Rui Falcão,rfalcao13,rfalcao13,PT,SP,0
Ruy Carneiro,ruycarneiropb,ruycarneiropb,PSC,PB,1
Sâmia Bomfim,samia.bomfim.psol,samiabomfim,PSOL,SP,0
Samuel Moreira,samuelmoreiraregistro,samuelmoreira,PSDB,SP,0
Sandro Alex,depsandroalex,SandroAlex5555,PSD,SP,
Sargento Fahur,SargentoFahur10,SargentoFAHUR,PSD,PR,1
Sebastião Oliveira,sebastiaooliveirape,,AVANTE,PE,0
Sérgio Souza,sergiosouzaPR,_sergiosouza,MDB,PR,1
Sérgio Toledo,deputadosergiotoledo,,PV,AL,0
Sergio Vidigal,vidigalsergio,vidigalsergio,PDT,ES,
Severino Pessoa,severinolpessoaal,severinopessoaa,MDB,AL,1
Shéridan,SheridanRR,,PSDB,RR,1
Sidney Leite,leitesidney,sidneyleite_,PSD,AM,0
Silas Câmara 1010,DepSilas,silascamara_,REPUBLICANOS,AM,1
Silvia Cristina,silviacristina.ro,,PL,RO,1
Silvio Costa Filho,silvio.costafilhoi,Silvio_CFilho,REPUBLICANOS,PE,0
Soraya Santos,deputadasorayasantos,depsorayasantos,PL,RJ,
Sóstenes Cavalcante,sostenescavalcante,DepSostenes,PL,RJ,1
Stefano Aguiar,PastorStefanoAguiar,depstefano,PSD,MG,1
Subtenente Gonzaga,deputadosubtenentegonzaga,subgonzagamg,PSD,MG,1
Tabata Amaral,tabataamaralSP,tabataamaralsp,PSB,SP,0
Tadeu Alencar,DeputadoTadeuAlencar,TadeuAlencarPE,PSB,PE,0
Talíria Petrone,taliriapetronepsol,taliriapetrone,PSOL,RJ,0
Tereza Cristina,terezacristinams,TerezaCrisMS,DEM,MS,
Tereza Nelma,TerezaNelmaAL,terezanelmaal,PSD,AL,0
Tiago Dimas,depfederaltiagodimas,tiago_dimas,PODEMOS,TO,1
Tiago Mitraud,TiagoMitraud,TiagoMitraud,NOVO,MG,0
Tiririca,tiririca,tiriricanaweb,PL,SP,0
Túlio Gadêlha,TulioGadelhaOficial,tuliogadelha,REDE,PE,0
Valdevan Noventa,ValdevanNoventaOficial,ValdevanNoventa,PL,SE,0
Valmir Assunção Lula da Silva,depvalmir,DepValmir,PT,BA,0
Vanda Milani,dravandamilani.ac,,PROS,AC,1
Vander Loubet,deputadovander,vanderloubet,PT,MS,0
Vavá,vavamartinsoficial,vavamartinspa,REPUBLICANOS,PA,1
Vermelho Deputado Federal,deputadovermelho,depvermelho,PL,PR,1
Vicentinho Júnior,VicentinhoJr,vicentinhojr,PP,TO,0
Vilson da Fetaemg,VilsondaFetaemg,Vilsondafetaemg,PSB,MG,0
Vinicius Carvalho,viniciuscarvalhooficial,falecomvinicius,REPUBLICANOS,SP,
Vinicius Farah,farah.vinicius,,MDB,RJ,
Vinícius Gurgel,deputadoviniciusgurgel,VinciusGurgel3,PL,AP,0
Vinicius Poit,ViniciusPoit,ViniciusPoit,NOVO,SP,0
Vitor Lippi,vitorlippi,DepVitorLippi,PSDB,SP,0
Wagner Montes,depwagnermontes,,PRB,RJ,
Waldenor Pereira,deputadowaldenorpereira,WaldenorPereira,PT,BA,0
Walter Pereira Alves,WalterAlves1511,walteralvesrn,MDB,RN,0
Weliton Prado,welitonpradodeputado,,PROS,MG,1
Wellington Roberto,depwellingtonroberto,,PL,PB,0
Wilson Santiago,wilsonsantiagopb,WilsonSantiago_,REPUBLICANOS,PB,
Wladimir Garotinho,wladimirgarotinhoo,WladGarotinho,PSD,RJ,
Wolney Queiroz,wolneyqueirozpe,WolneyQueirozM,PDT,PE,0
Zé Haroldo Cathedral,joseharoldocathedral,ze_haroldo,PSD,RR,1
Zé Mário,zemariogo,ZeMarioGO,MDB,GO,1
Zé Neto,depzeneto,depzeneto1323,PT,BA,0
Zé Vitor,zevitorMG,zevitor_mg,PL,MG,1
Zeca Dirceu,deputadofederalzecadirceu,zeca_dirceu,PT,PR,0
