"author","Id","Label","party","PEC135","avg_followers","total_posts","type","PDR_posts"
"carlosbezerraoficial","author::carlosbezerraoficial","carlosbezerraoficial","NotApplicable",-1,12900.8591160221,362,"author",0
"carloschiodini","author::carloschiodini","carloschiodini","MDB",1,35883.6457536343,1307,"author",0
"carlosgomesdep","author::carlosgomesdep","carlosgomesdep","REPUBLICANOS",1,44122.5890052356,2292,"author",1
"carlosjordyoficial","author::carlosjordyoficial","carlosjordyoficial","PL",1,394450.218800824,9223,"author",120
"carlosveraspt","author::carlosveraspt","carlosveraspt","PT",0,24435.1023065476,5376,"author",0
"carmenzanottosc","author::carmenzanottosc","carmenzanottosc","CIDADANIA",1,37136.119612069,1856,"author",0
"carolinerdetoni","author::carolinerdetoni","carolinerdetoni","PL",1,151917.532814779,2057,"author",54
"cassioandrade40","author::cassioandrade40","cassioandrade40","NotApplicable",-1,0,705,"author",0
"cassioandrade4011","author::cassioandrade4011","cassioandrade4011","PSB",-1,14686.7654123299,1249,"author",0
"celinaleaodf","author::celinaleaodf","celinaleaodf","PP",1,131215.633424521,4061,"author",0
"celio.studart","author::celio.studart","celio.studart","PSD",0,661391.096421471,2012,"author",0
"celiomourato","author::celiomourato","celiomourato","PT",0,10631.3767366721,3261,"author",0
"celiosilveiradeputadogo","author::celiosilveiradeputadogo","celiosilveiradeputadogo","MDB",1,20428.5870683321,1362,"author",2
"celsosabinooficial","author::celsosabinooficial","celsosabinooficial","UNIAO",-1,67771.2753768844,1990,"author",0
"charlesfernandesoficial","author::charlesfernandesoficial","charlesfernandesoficial","NotApplicable",-1,16004.7053406998,1086,"author",0
"charlles.evangelista","author::charlles.evangelista","charlles.evangelista","PP",1,109322.195488722,3325,"author",0
"chicodangelo","author::chicodangelo","chicodangelo","PDT",0,59604.266518847,2255,"author",0
"christianeyared","author::christianeyared","christianeyared","PP",1,75656.9662288931,1066,"author",0
"christino.aureo","author::christino.aureo","christino.aureo","PP",0,40858.2900092507,2162,"author",0
"christonietto","author::christonietto","christonietto","PL",1,32923.5049219688,4165,"author",0
"clarissagarotinhorj","author::clarissagarotinhorj","clarissagarotinhorj","UNIAO",1,191764.128540305,1377,"author",0
"cleberverde.1010","author::cleberverde.1010","cleberverde.1010","NotApplicable",-1,0,624,"author",0
"coronel.armando","author::coronel.armando","coronel.armando","PL",1,39601.6455520942,2890,"author",47
"covatti.filho","author::covatti.filho","covatti.filho","PP",-1,45482.0867979577,1371,"author",0
"dagobertonogueirams","author::dagobertonogueirams","dagobertonogueirams","PSDB",0,28184.2280173855,2991,"author",0
"danielacarneirooficial","author::danielacarneirooficial","danielacarneirooficial","NotApplicable",-1,26308.1274601687,2135,"author",0
"danielcoelho23","author::danielcoelho23","danielcoelho23","CIDADANIA",0,197185.050438596,456,"author",0
"danieltrzeciak45","author::danieltrzeciak45","danieltrzeciak45","PSDB",1,39721.6311239193,1041,"author",0
"danilocabralpe","author::danilocabralpe","danilocabralpe","PSB",0,63677.8883139284,2319,"author",0
"davidbrsoares","author::davidbrsoares","davidbrsoares","UNIAO",1,157546.908017402,1609,"author",6
"davidmirandario12","author::davidmirandario12","davidmirandario12","PDT",0,429320.846723935,5939,"author",0
"delegado.waldir","author::delegado.waldir","delegado.waldir","UNIAO",0,874491.983158853,2197,"author",0
"delegadoantoniofurtado","author::delegadoantoniofurtado","delegadoantoniofurtado","UNIAO",1,52645.4032939189,2369,"author",0
"delegadofeliciolaterca","author::delegadofeliciolaterca","delegadofeliciolaterca","PP",1,51740.7991452991,1872,"author",9
"delegadomarcelofreitas","author::delegadomarcelofreitas","delegadomarcelofreitas","UNIAO",1,61872.8390212492,1553,"author",1
"delegadopablo","author::delegadopablo","delegadopablo","UNIAO",1,28601.3736979167,2304,"author",0
"dep.alinegurgel","author::dep.alinegurgel","dep.alinegurgel","REPUBLICANOS",1,17689.5514018692,2462,"author",1
"dep.cleberverde","author::dep.cleberverde","dep.cleberverde","REPUBLICANOS",1,18528.8571428571,98,"author",0
"dep.eduardocosta","author::dep.eduardocosta","dep.eduardocosta","PSD",1,30638.7807118255,1742,"author",0
"dep.eliborges","author::dep.eliborges","dep.eliborges","PL",1,5609.71115537849,502,"author",0
"dep.expeditonetto","author::dep.expeditonetto","dep.expeditonetto","PSD",1,40963.739800544,1103,"author",0
"dep.jessicasales","author::dep.jessicasales","dep.jessicasales","MDB",1,18455.0102669405,1171,"author",1
"dep.joeniawapichana","author::dep.joeniawapichana","dep.joeniawapichana","REDE",0,21396.9840116279,2064,"author",0
"dep.ledasadala","author::dep.ledasadala","dep.ledasadala","PP",-1,5860.14053254438,1401,"author",0
"dep.lucena","author::dep.lucena","dep.lucena","REPUBLICANOS",-1,234445.607083564,1807,"author",0
"dep.zarattini","author::dep.zarattini","dep.zarattini","PT",0,405070.885357369,6324,"author",0
"depafonsohamm","author::depafonsohamm","depafonsohamm","PP",-1,68291.0423814329,991,"author",0
"depaguinaldoribeiro","author::depaguinaldoribeiro","depaguinaldoribeiro","PP",-1,10567.7274401473,543,"author",0
"depalceumoreira","author::depalceumoreira","depalceumoreira","MDB",1,55525.8795755968,1885,"author",8
"depalexsantana","author::depalexsantana","depalexsantana","REPUBLICANOS",1,3751.79157894737,1006,"author",3
"depandreabdon","author::depandreabdon","depandreabdon","PP",-1,9498.77405119153,1133,"author",0
"depbilacpinto","author::depbilacpinto","depbilacpinto","UNIAO",-1,37786.1558752998,417,"author",0
"depchinaglia","author::depchinaglia","depchinaglia","PT",0,163396.499783643,6933,"author",0
"depchiquinhobrazao","author::depchiquinhobrazao","depchiquinhobrazao","UNIAO",0,60098.7799811143,1059,"author",0
"depcoronelchrisostomo","author::depcoronelchrisostomo","depcoronelchrisostomo","PL",1,25506.3458528951,1983,"author",0
"depdanielalmeida","author::depdanielalmeida","depdanielalmeida","PCdoB",0,58462.6431174657,3568,"author",0
"depdanielfreitas","author::depdanielfreitas","depdanielfreitas","PL",1,28167.2067620286,1539,"author",22
"depdarcidematos","author::depdarcidematos","depdarcidematos","PSD",1,64596.7076749436,886,"author",0
"depdimasfabiano.toledo","author::depdimasfabiano.toledo","depdimasfabiano.toledo","PP",1,48465.4036697248,1526,"author",0
"depfederaltiagodimas","author::depfederaltiagodimas","depfederaltiagodimas","PODEMOS",1,9015.93016344725,673,"author",0
"depfelipefrancischini","author::depfelipefrancischini","depfelipefrancischini","UNIAO",1,141213.959079284,392,"author",3
"depgilcutrim","author::depgilcutrim","depgilcutrim","REPUBLICANOS",0,14994.5535714286,1624,"author",0
"depgonzagapatriota","author::depgonzagapatriota","depgonzagapatriota","PSB",-1,26448.5659574468,705,"author",0
"depheliolopes","author::depheliolopes","depheliolopes","PL",1,316640.310113519,5814,"author",8
"depjefferson","author::depjefferson","depjefferson","PL",1,310022.321812596,1303,"author",1
"depjhonatanjesus","author::depjhonatanjesus","depjhonatanjesus","REPUBLICANOS",-1,17932.7977011494,435,"author",0
"depjorgesolla","author::depjorgesolla","depjorgesolla","PT",0,120611.986336193,3149,"author",0
