"author","Id","Label","party","PEC135","avg_followers","total_posts","type","PDR_posts"
,"domain::pampa","pampa","NotApplicable",-1,0,0,"domain",
,"domain::flavianomelo","flavianomelo","NotApplicable",-1,0,0,"domain",
,"domain::futura","futura","NotApplicable",-1,0,0,"domain",
,"domain::soundcloud","soundcloud","NotApplicable",-1,0,0,"domain",
,"domain::portalnews","portalnews","NotApplicable",-1,0,0,"domain",
,"domain::muraldavila","muraldavila","NotApplicable",-1,0,0,"domain",
,"domain::psdbnacamara","psdbnacamara","NotApplicable",-1,0,0,"domain",
,"domain::mst","mst","NotApplicable",-1,0,0,"domain",
,"domain::abroncapopular","abroncapopular","NotApplicable",-1,0,0,"domain",
,"domain::naoviu","naoviu","NotApplicable",-1,0,0,"domain",
,"domain::guaiba","guaiba","NotApplicable",-1,0,0,"domain",
,"domain::atribuna","atribuna","NotApplicable",-1,0,0,"domain",
,"domain::observatorio3setor","observatorio3setor","NotApplicable",-1,0,0,"domain",
,"domain::soescola","soescola","NotApplicable",-1,0,0,"domain",
,"domain::saude.gov.br","saude.gov.br","NotApplicable",-1,0,0,"domain",
,"domain::republicanos10","republicanos10","NotApplicable",-1,0,0,"domain",
,"domain::instagram","instagram","NotApplicable",-1,0,0,"domain",
,"domain::arapongas.pr.gov.br","arapongas.pr.gov.br","NotApplicable",-1,0,0,"domain",
,"domain::meiahora.ig","meiahora.ig","NotApplicable",-1,0,0,"domain",
,"domain::radioconvencao","radioconvencao","NotApplicable",-1,0,0,"domain",
,"domain::vaticannews.va","vaticannews.va","NotApplicable",-1,0,0,"domain",
,"domain::geledes","geledes","NotApplicable",-1,0,0,"domain",
,"domain::osegredo","osegredo","NotApplicable",-1,0,0,"domain",
,"domain::ndonline","ndonline","NotApplicable",-1,0,0,"domain",
,"domain::polemicaparaiba","polemicaparaiba","NotApplicable",-1,0,0,"domain",
,"domain::96fmbauru","96fmbauru","NotApplicable",-1,0,0,"domain",
,"domain::acidigital","acidigital","NotApplicable",-1,0,0,"domain",
,"domain::outraspalavras.net","outraspalavras.net","NotApplicable",-1,0,0,"domain",
,"domain::xapuri.info","xapuri.info","NotApplicable",-1,0,0,"domain",
,"domain::leouve","leouve","NotApplicable",-1,0,0,"domain",
,"domain::maisro","maisro","NotApplicable",-1,0,0,"domain",
,"domain::segs","segs","NotApplicable",-1,0,0,"domain",
,"domain::gazetaonline","gazetaonline","NotApplicable",-1,0,0,"domain",
,"domain::avozdaserra","avozdaserra","NotApplicable",-1,0,0,"domain",
,"domain::diariodovale","diariodovale","NotApplicable",-1,0,0,"domain",
,"domain::ciacucadeteatro","ciacucadeteatro","NotApplicable",-1,0,0,"domain",
,"domain::vice","vice","NotApplicable",-1,0,0,"domain",
,"domain::balaiodokotscho","balaiodokotscho","NotApplicable",-1,0,0,"domain",
,"domain::sbt","sbt","NotApplicable",-1,0,0,"domain",
,"domain::leandre","leandre","NotApplicable",-1,0,0,"domain",
,"domain::blogdoandersonsoares","blogdoandersonsoares","NotApplicable",-1,0,0,"domain",
,"domain::palmeira.pr.gov.br","palmeira.pr.gov.br","NotApplicable",-1,0,0,"domain",
,"domain::1news","1news","NotApplicable",-1,0,0,"domain",
,"domain::insper.edu.br","insper.edu.br","NotApplicable",-1,0,0,"domain",
,"domain::diarioinduscom","diarioinduscom","NotApplicable",-1,0,0,"domain",
,"domain::cartamaior","cartamaior","NotApplicable",-1,0,0,"domain",
,"domain::telesurtv.net","telesurtv.net","NotApplicable",-1,0,0,"domain",
,"domain::brazilfoundation","brazilfoundation","NotApplicable",-1,0,0,"domain",
,"domain::religionenlibertad","religionenlibertad","NotApplicable",-1,0,0,"domain",
,"domain::blogcentralweb","blogcentralweb","NotApplicable",-1,0,0,"domain",
,"domain::emtempo","emtempo","NotApplicable",-1,0,0,"domain",
,"domain::diariodomeiodomundo","diariodomeiodomundo","NotApplicable",-1,0,0,"domain",
,"domain::brasilianismo","brasilianismo","NotApplicable",-1,0,0,"domain",
,"domain::politicaderesultados","politicaderesultados","NotApplicable",-1,0,0,"domain",
,"domain::reuters","reuters","NotApplicable",-1,0,0,"domain",
,"domain::jornalasemana.net","jornalasemana.net","NotApplicable",-1,0,0,"domain",
,"domain::noticiasourinhos","noticiasourinhos","NotApplicable",-1,0,0,"domain",
,"domain::iol.pt","iol.pt","NotApplicable",-1,0,0,"domain",
,"domain::amomeupet","amomeupet","NotApplicable",-1,0,0,"domain",
,"domain::tribunadoceara","tribunadoceara","NotApplicable",-1,0,0,"domain",
,"domain::lucasgonzalez","lucasgonzalez","NotApplicable",-1,0,0,"domain",
,"domain::psd","psd","NotApplicable",-1,0,0,"domain",
,"domain::anamatra","anamatra","NotApplicable",-1,0,0,"domain",
,"domain::oinformante.blog.br","oinformante.blog.br","NotApplicable",-1,0,0,"domain",
,"domain::wwf","wwf","NotApplicable",-1,0,0,"domain",
,"domain::ce.def.br","ce.def.br","NotApplicable",-1,0,0,"domain",
,"domain::fenaprf","fenaprf","NotApplicable",-1,0,0,"domain",
,"domain::paraibaja","paraibaja","NotApplicable",-1,0,0,"domain",
,"domain::convergenciadigital","convergenciadigital","NotApplicable",-1,0,0,"domain",
,"domain::talesfaria","talesfaria","NotApplicable",-1,0,0,"domain",
,"domain::progressistas","progressistas","NotApplicable",-1,0,0,"domain",
,"domain::alagoas24horas","alagoas24horas","NotApplicable",-1,0,0,"domain",
,"domain::jcnet","jcnet","NotApplicable",-1,0,0,"domain",
,"domain::estudosnacionais","estudosnacionais","NotApplicable",-1,0,0,"domain",
,"domain::thehypestuff","thehypestuff","NotApplicable",-1,0,0,"domain",
,"domain::ameac","ameac","NotApplicable",-1,0,0,"domain",
,"domain::jornaldacidade.net","jornaldacidade.net","NotApplicable",-1,0,0,"domain",
,"domain::blogdacidadania","blogdacidadania","NotApplicable",-1,0,0,"domain",
,"domain::paulabelmonte","paulabelmonte","NotApplicable",-1,0,0,"domain",
,"domain::puggina","puggina","NotApplicable",-1,0,0,"domain",
,"domain::entretenimento.uol","entretenimento.uol","NotApplicable",-1,0,0,"domain",
,"domain::psdcamara","psdcamara","NotApplicable",-1,0,0,"domain",
,"domain::dw","dw","NotApplicable",-1,0,0,"domain",
,"domain::eurio","eurio","NotApplicable",-1,0,0,"domain",
,"domain::poderdovoto","poderdovoto","NotApplicable",-1,0,0,"domain",
,"domain::carvaomineral","carvaomineral","NotApplicable",-1,0,0,"domain",
,"domain::seuhistory","seuhistory","NotApplicable",-1,0,0,"domain",
,"domain::zesilva","zesilva","NotApplicable",-1,0,0,"domain",
,"domain::radioprogresso","radioprogresso","NotApplicable",-1,0,0,"domain",
,"domain::nenoticias","nenoticias","NotApplicable",-1,0,0,"domain",
,"domain::pensadoranonimo","pensadoranonimo","NotApplicable",-1,0,0,"domain",
,"domain::alloutbrasil","alloutbrasil","NotApplicable",-1,0,0,"domain",
,"domain::tecmundo","tecmundo","NotApplicable",-1,0,0,"domain",
,"domain::blogdomax.net","blogdomax.net","NotApplicable",-1,0,0,"domain",
,"domain::gazetadocerrado","gazetadocerrado","NotApplicable",-1,0,0,"domain",
,"domain::faxaju","faxaju","NotApplicable",-1,0,0,"domain",
,"domain::estadopolitico","estadopolitico","NotApplicable",-1,0,0,"domain",
,"domain::deputadobacelar","deputadobacelar","NotApplicable",-1,0,0,"domain",
,"domain::wikipedia","wikipedia","NotApplicable",-1,0,0,"domain",
,"domain::pcdobnacamara","pcdobnacamara","NotApplicable",-1,0,0,"domain",
,"domain::caneta","caneta","NotApplicable",-1,0,0,"domain",
,"domain::ninalemos","ninalemos","NotApplicable",-1,0,0,"domain",
,"domain::conjur","conjur","NotApplicable",-1,0,0,"domain",
,"domain::fabiofaria","fabiofaria","NotApplicable",-1,0,0,"domain",
,"domain::ufba.br","ufba.br","NotApplicable",-1,0,0,"domain",
,"domain::fatoreal","fatoreal","NotApplicable",-1,0,0,"domain",
,"domain::bastidoresdatv","bastidoresdatv","NotApplicable",-1,0,0,"domain",
,"domain::ver-o-fato","ver-o-fato","NotApplicable",-1,0,0,"domain",
,"domain::nilljunior","nilljunior","NotApplicable",-1,0,0,"domain",
,"domain::minasfazciencia","minasfazciencia","NotApplicable",-1,0,0,"domain",
,"domain::globoesporte.globo","globoesporte.globo","NotApplicable",-1,0,0,"domain",
,"domain::blog.uol","blog.uol","NotApplicable",-1,0,0,"domain",
,"domain::blogdarose","blogdarose","NotApplicable",-1,0,0,"domain",
,"domain::flaviaarrudadf","flaviaarrudadf","NotApplicable",-1,0,0,"domain",
,"domain::folhabv","folhabv","NotApplicable",-1,0,0,"domain",
,"domain::radiobandeirantes","radiobandeirantes","NotApplicable",-1,0,0,"domain",
,"domain::tvefamosos","tvefamosos","NotApplicable",-1,0,0,"domain",
,"domain::noticiaextra","noticiaextra","NotApplicable",-1,0,0,"domain",
,"domain::novaitufm","novaitufm","NotApplicable",-1,0,0,"domain",
,"domain::contraosagrotoxicos","contraosagrotoxicos","NotApplicable",-1,0,0,"domain",
,"domain::trbn","trbn","NotApplicable",-1,0,0,"domain",
,"domain::g37","g37","NotApplicable",-1,0,0,"domain",
,"domain::estudar","estudar","NotApplicable",-1,0,0,"domain",
,"domain::hugomotta","hugomotta","NotApplicable",-1,0,0,"domain",
,"domain::papelpop","papelpop","NotApplicable",-1,0,0,"domain",
,"domain::diarioconservador","diarioconservador","NotApplicable",-1,0,0,"domain",
,"domain::miseria","miseria","NotApplicable",-1,0,0,"domain",
,"domain::boletimdaliberdade","boletimdaliberdade","NotApplicable",-1,0,0,"domain",
,"domain::radiofolhabv","radiofolhabv","NotApplicable",-1,0,0,"domain",
,"domain::sabervivermais","sabervivermais","NotApplicable",-1,0,0,"domain",
,"domain::filhosdedeus.blog.br","filhosdedeus.blog.br","NotApplicable",-1,0,0,"domain",
,"domain::alfredochaves.es.gov.br","alfredochaves.es.gov.br","NotApplicable",-1,0,0,"domain",
,"domain::el-nacional","el-nacional","NotApplicable",-1,0,0,"domain",
,"domain::studio.fm.br","studio.fm.br","NotApplicable",-1,0,0,"domain",
,"domain::fatosdesconhecidos","fatosdesconhecidos","NotApplicable",-1,0,0,"domain",
,"domain::moneytimes","moneytimes","NotApplicable",-1,0,0,"domain",
,"domain::agricultura.gov.br","agricultura.gov.br","NotApplicable",-1,0,0,"domain",
,"domain::nsctotal","nsctotal","NotApplicable",-1,0,0,"domain",
,"domain::diariodepernambuco","diariodepernambuco","NotApplicable",-1,0,0,"domain",
,"domain::centralsulnews","centralsulnews","NotApplicable",-1,0,0,"domain",
,"domain::esporte.uol","esporte.uol","NotApplicable",-1,0,0,"domain",
,"domain::roagora","roagora","NotApplicable",-1,0,0,"domain",
,"domain::destinos-sc","destinos-sc","NotApplicable",-1,0,0,"domain",
,"domain::teresopolis.rj.gov.br","teresopolis.rj.gov.br","NotApplicable",-1,0,0,"domain",
,"domain::itatiaia","itatiaia","NotApplicable",-1,0,0,"domain",
,"domain::ceara.gov.br","ceara.gov.br","NotApplicable",-1,0,0,"domain",
,"domain::deputadoaureo","deputadoaureo","NotApplicable",-1,0,0,"domain",
,"domain::camaracaxias.rs.gov.br","camaracaxias.rs.gov.br","NotApplicable",-1,0,0,"domain",
,"domain::policiamilitardesaopaulo.blogspot","policiamilitardesaopaulo.blogspot","NotApplicable",-1,0,0,"domain",
,"domain::foxsports","foxsports","NotApplicable",-1,0,0,"domain",
,"domain::t.co","t.co","NotApplicable",-1,0,0,"domain",
,"domain::radioiara","radioiara","NotApplicable",-1,0,0,"domain",
,"domain::depadrianodobaldy","depadrianodobaldy","NotApplicable",-1,0,0,"domain",
,"domain::redetv","redetv","NotApplicable",-1,0,0,"domain",
,"domain::blogdogusmao","blogdogusmao","NotApplicable",-1,0,0,"domain",
,"domain::romanews","romanews","NotApplicable",-1,0,0,"domain",
,"domain::folhavitoria","folhavitoria","NotApplicable",-1,0,0,"domain",
,"domain::rcn67","rcn67","NotApplicable",-1,0,0,"domain",
,"domain::psbnacamara","psbnacamara","NotApplicable",-1,0,0,"domain",
,"domain::campanha","campanha","NotApplicable",-1,0,0,"domain",
,"domain::correiodoestado","correiodoestado","NotApplicable",-1,0,0,"domain",
,"domain::noticiasagricolas","noticiasagricolas","NotApplicable",-1,0,0,"domain",
,"domain::diarioonline","diarioonline","NotApplicable",-1,0,0,"domain",
,"domain::tvuol","tvuol","NotApplicable",-1,0,0,"domain",
,"domain::carnavalesco","carnavalesco","NotApplicable",-1,0,0,"domain",
,"domain::hcnoticias","hcnoticias","NotApplicable",-1,0,0,"domain",
,"domain::oliberal","oliberal","NotApplicable",-1,0,0,"domain",
,"domain::revista-pub","revista-pub","NotApplicable",-1,0,0,"domain",
,"domain::ptbnacamara","ptbnacamara","NotApplicable",-1,0,0,"domain",
,"domain::sociedademilitar","sociedademilitar","NotApplicable",-1,0,0,"domain",
,"domain::page.link","page.link","NotApplicable",-1,0,0,"domain",
,"domain::portalcbncampinas","portalcbncampinas","NotApplicable",-1,0,0,"domain",
,"domain::politicaetc","politicaetc","NotApplicable",-1,0,0,"domain",
,"domain::economia.gov.br","economia.gov.br","NotApplicable",-1,0,0,"domain",
,"domain::sindifisconacional","sindifisconacional","NotApplicable",-1,0,0,"domain",
,"domain::olharolimpico","olharolimpico","NotApplicable",-1,0,0,"domain",
,"domain::osdivergentes","osdivergentes","NotApplicable",-1,0,0,"domain",
,"domain::semprefamilia","semprefamilia","NotApplicable",-1,0,0,"domain",
,"domain::podemosbahia","podemosbahia","NotApplicable",-1,0,0,"domain",
,"domain::encurtador","encurtador","NotApplicable",-1,0,0,"domain",
,"domain::capricho","capricho","NotApplicable",-1,0,0,"domain",
,"domain::dilma","dilma","NotApplicable",-1,0,0,"domain",
,"domain::daniel","daniel","NotApplicable",-1,0,0,"domain",
,"domain::yumpu","yumpu","NotApplicable",-1,0,0,"domain",
,"domain::carajasojornal","carajasojornal","NotApplicable",-1,0,0,"domain",
,"domain::franciscojr","franciscojr","NotApplicable",-1,0,0,"domain",
,"domain::cbngoiania","cbngoiania","NotApplicable",-1,0,0,"domain",
,"domain::blogdotidi.blogspot","blogdotidi.blogspot","NotApplicable",-1,0,0,"domain",
,"domain::solidariedade","solidariedade","NotApplicable",-1,0,0,"domain",
,"domain::cidadesmaisinteligentes","cidadesmaisinteligentes","NotApplicable",-1,0,0,"domain",
,"domain::observatoriodoscocais","observatoriodoscocais","NotApplicable",-1,0,0,"domain",
,"domain::blogdosakamoto","blogdosakamoto","NotApplicable",-1,0,0,"domain",
,"domain::bit.ly","bit.ly","NotApplicable",-1,0,0,"domain",
,"domain::sergiovidigal","sergiovidigal","NotApplicable",-1,0,0,"domain",
,"domain::programafaixalivre","programafaixalivre","NotApplicable",-1,0,0,"domain",
,"domain::portalfecomerciarios","portalfecomerciarios","NotApplicable",-1,0,0,"domain",
,"domain::rubensotoni","rubensotoni","NotApplicable",-1,0,0,"domain",
,"domain::meon","meon","NotApplicable",-1,0,0,"domain",
,"domain::reporteronlinelitoral","reporteronlinelitoral","NotApplicable",-1,0,0,"domain",
,"domain::amazonasnews","amazonasnews","NotApplicable",-1,0,0,"domain",
,"domain::paraibaradioblog","paraibaradioblog","NotApplicable",-1,0,0,"domain",
,"domain::b9","b9","NotApplicable",-1,0,0,"domain",
,"domain::plural.jor.br","plural.jor.br","NotApplicable",-1,0,0,"domain",
,"domain::diariodesuzano","diariodesuzano","NotApplicable",-1,0,0,"domain",
,"domain::heroncid","heroncid","NotApplicable",-1,0,0,"domain",
,"domain::jornalpaginaaberta","jornalpaginaaberta","NotApplicable",-1,0,0,"domain",
,"domain::tropicalfm99","tropicalfm99","NotApplicable",-1,0,0,"domain",
,"domain::politica82","politica82","NotApplicable",-1,0,0,"domain",
,"domain::pagina12.com.ar","pagina12.com.ar","NotApplicable",-1,0,0,"domain",
,"domain::expressopb","expressopb","NotApplicable",-1,0,0,"domain",
,"domain::revistagalileu.globo","revistagalileu.globo","NotApplicable",-1,0,0,"domain",
,"domain::minhavida","minhavida","NotApplicable",-1,0,0,"domain",
,"domain::ampproject","ampproject","NotApplicable",-1,0,0,"domain",
,"domain::portalodia","portalodia","NotApplicable",-1,0,0,"domain",
,"domain::curtamais","curtamais","NotApplicable",-1,0,0,"domain",
,"domain::revistapazes","revistapazes","NotApplicable",-1,0,0,"domain",
,"domain::canaisglobo.globo","canaisglobo.globo","NotApplicable",-1,0,0,"domain",
,"domain::dibradoras","dibradoras","NotApplicable",-1,0,0,"domain",
,"domain::modulofm","modulofm","NotApplicable",-1,0,0,"domain",
,"domain::ipora.go.gov.br","ipora.go.gov.br","NotApplicable",-1,0,0,"domain",
,"domain::cabezanews","cabezanews","NotApplicable",-1,0,0,"domain",
,"domain::cidadedeniteroi","cidadedeniteroi","NotApplicable",-1,0,0,"domain",
,"domain::agoraequesaoelas","agoraequesaoelas","NotApplicable",-1,0,0,"domain",
,"domain::deputadomacris","deputadomacris","NotApplicable",-1,0,0,"domain",
,"domain::giovanifeltes","giovanifeltes","NotApplicable",-1,0,0,"domain",
,"domain::minutobarra","minutobarra","NotApplicable",-1,0,0,"domain",
,"domain::curtadoc.tv","curtadoc.tv","NotApplicable",-1,0,0,"domain",
,"domain::asemanacuritibanos","asemanacuritibanos","NotApplicable",-1,0,0,"domain",
,"domain::coronelarmando","coronelarmando","NotApplicable",-1,0,0,"domain",
,"domain::inep.gov.br","inep.gov.br","NotApplicable",-1,0,0,"domain",
,"domain::pps","pps","NotApplicable",-1,0,0,"domain",
,"domain::conectanews","conectanews","NotApplicable",-1,0,0,"domain",
,"domain::saude.sp.gov.br","saude.sp.gov.br","NotApplicable",-1,0,0,"domain",
,"domain::arthurlira","arthurlira","NotApplicable",-1,0,0,"domain",
,"domain::vemprarua.net","vemprarua.net","NotApplicable",-1,0,0,"domain",
,"domain::josepriante","josepriante","NotApplicable",-1,0,0,"domain",
,"domain::correioderondonia","correioderondonia","NotApplicable",-1,0,0,"domain",
,"domain::agnorte","agnorte","NotApplicable",-1,0,0,"domain",
,"domain::bahiaja","bahiaja","NotApplicable",-1,0,0,"domain",
,"domain::mec.gov.br","mec.gov.br","NotApplicable",-1,0,0,"domain",
,"domain::marretaurgente","marretaurgente","NotApplicable",-1,0,0,"domain",
,"domain::aparecida.go.gov.br","aparecida.go.gov.br","NotApplicable",-1,0,0,"domain",
,"domain::jornaldaregiao","jornaldaregiao","NotApplicable",-1,0,0,"domain",
,"domain::jaruonline","jaruonline","NotApplicable",-1,0,0,"domain",
,"domain::jornalfolhadoestado","jornalfolhadoestado","NotApplicable",-1,0,0,"domain",
,"domain::tapisrouge","tapisrouge","NotApplicable",-1,0,0,"domain",
,"domain::mariacarolinatrevisan","mariacarolinatrevisan","NotApplicable",-1,0,0,"domain",
,"domain::novoextra","novoextra","NotApplicable",-1,0,0,"domain",
,"domain::lagesnarede","lagesnarede","NotApplicable",-1,0,0,"domain",
,"domain::guiademidia","guiademidia","NotApplicable",-1,0,0,"domain",
,"domain::peticaopublica","peticaopublica","NotApplicable",-1,0,0,"domain",
,"domain::blogdokennedy","blogdokennedy","NotApplicable",-1,0,0,"domain",
,"domain::sinprfmg","sinprfmg","NotApplicable",-1,0,0,"domain",
,"domain::politicalivre","politicalivre","NotApplicable",-1,0,0,"domain",
,"domain::deputadoefraimfilho","deputadoefraimfilho","NotApplicable",-1,0,0,"domain",
,"domain::clmais","clmais","NotApplicable",-1,0,0,"domain",
,"domain::folhavaledocafe.info","folhavaledocafe.info","NotApplicable",-1,0,0,"domain",
,"domain::jornalnh","jornalnh","NotApplicable",-1,0,0,"domain",
,"domain::afp","afp","NotApplicable",-1,0,0,"domain",
,"domain::aosfatos","aosfatos","NotApplicable",-1,0,0,"domain",
,"domain::francocartafina","francocartafina","NotApplicable",-1,0,0,"domain",
,"domain::amazonascristao","amazonascristao","NotApplicable",-1,0,0,"domain",
,"domain::atribunarj","atribunarj","NotApplicable",-1,0,0,"domain",
,"domain::seujornal","seujornal","NotApplicable",-1,0,0,"domain",
,"domain::ultimosegundo.ig","ultimosegundo.ig","NotApplicable",-1,0,0,"domain",
,"domain::leiaja","leiaja","NotApplicable",-1,0,0,"domain",
,"domain::odiariodemogi.net.br","odiariodemogi.net.br","NotApplicable",-1,0,0,"domain",
,"domain::maracanau.ce.gov.br","maracanau.ce.gov.br","NotApplicable",-1,0,0,"domain",
,"domain::bocamaldita","bocamaldita","NotApplicable",-1,0,0,"domain",
,"domain::ibahia","ibahia","NotApplicable",-1,0,0,"domain",
,"domain::tribunapb","tribunapb","NotApplicable",-1,0,0,"domain",
,"domain::institutolula","institutolula","NotApplicable",-1,0,0,"domain",
,"domain::techtudo","techtudo","NotApplicable",-1,0,0,"domain",
,"domain::jusbrasil","jusbrasil","NotApplicable",-1,0,0,"domain",
,"domain::nobelpeaceprize","nobelpeaceprize","NotApplicable",-1,0,0,"domain",
,"domain::egnews","egnews","NotApplicable",-1,0,0,"domain",
,"domain::blogdomarceloramos","blogdomarceloramos","NotApplicable",-1,0,0,"domain",
,"domain::blogdoninja","blogdoninja","NotApplicable",-1,0,0,"domain",
,"domain::metronews","metronews","NotApplicable",-1,0,0,"domain",
,"domain::avaaz","avaaz","NotApplicable",-1,0,0,"domain",
,"domain::fapesp.br","fapesp.br","NotApplicable",-1,0,0,"domain",
,"domain::jornaldacidadeonline","jornaldacidadeonline","NotApplicable",-1,0,0,"domain",
,"domain::noticiainfoco","noticiainfoco","NotApplicable",-1,0,0,"domain",
,"domain::spriomais","spriomais","NotApplicable",-1,0,0,"domain",
,"domain::portalflagrante","portalflagrante","NotApplicable",-1,0,0,"domain",
,"domain::wp.me","wp.me","NotApplicable",-1,0,0,"domain",
,"domain::guiame","guiame","NotApplicable",-1,0,0,"domain",
,"domain::agirporbrumadinho","agirporbrumadinho","NotApplicable",-1,0,0,"domain",
,"domain::anda.jor.br","anda.jor.br","NotApplicable",-1,0,0,"domain",
,"domain::ufal.edu.br","ufal.edu.br","NotApplicable",-1,0,0,"domain",
,"domain::diariopopular","diariopopular","NotApplicable",-1,0,0,"domain",
,"domain::difusora95","difusora95","NotApplicable",-1,0,0,"domain",
,"domain::agorams","agorams","NotApplicable",-1,0,0,"domain",
,"domain::informativocidades","informativocidades","NotApplicable",-1,0,0,"domain",
,"domain::efeagro","efeagro","NotApplicable",-1,0,0,"domain",
,"domain::laerciooliveira","laerciooliveira","NotApplicable",-1,0,0,"domain",
,"domain::bonde","bonde","NotApplicable",-1,0,0,"domain",
,"domain::portaldelaizquierda","portaldelaizquierda","NotApplicable",-1,0,0,"domain",
,"domain::clebertoledo","clebertoledo","NotApplicable",-1,0,0,"domain",
,"domain::sjpdf","sjpdf","NotApplicable",-1,0,0,"domain",
,"domain::mabnacional","mabnacional","NotApplicable",-1,0,0,"domain",
,"domain::abag","abag","NotApplicable",-1,0,0,"domain",
,"domain::falagoias","falagoias","NotApplicable",-1,0,0,"domain",
,"domain::vilacanaria","vilacanaria","NotApplicable",-1,0,0,"domain",
,"domain::emicles.blogspot","emicles.blogspot","NotApplicable",-1,0,0,"domain",
,"domain::blogdojohnny","blogdojohnny","NotApplicable",-1,0,0,"domain",
,"domain::jornaldodiase","jornaldodiase","NotApplicable",-1,0,0,"domain",
,"domain::bol","bol","NotApplicable",-1,0,0,"domain",
,"domain::sindiprev-se","sindiprev-se","NotApplicable",-1,0,0,"domain",
,"domain::turismo.gov.br","turismo.gov.br","NotApplicable",-1,0,0,"domain",
,"domain::ocp.news","ocp.news","NotApplicable",-1,0,0,"domain",
,"domain::jorgequadros","jorgequadros","NotApplicable",-1,0,0,"domain",
,"domain::blogdofred","blogdofred","NotApplicable",-1,0,0,"domain",
,"domain::acidadevotuporanga","acidadevotuporanga","NotApplicable",-1,0,0,"domain",
,"domain::sesc","sesc","NotApplicable",-1,0,0,"domain",
,"domain::mauriciostycer","mauriciostycer","NotApplicable",-1,0,0,"domain",
,"domain::jornalivre","jornalivre","NotApplicable",-1,0,0,"domain",
,"domain::pcdob","pcdob","NotApplicable",-1,0,0,"domain",
,"domain::pco","pco","NotApplicable",-1,0,0,"domain",
,"domain::conversaafiada","conversaafiada","NotApplicable",-1,0,0,"domain",
,"domain::afonsoflorence","afonsoflorence","NotApplicable",-1,0,0,"domain",
,"domain::blogchicosoares","blogchicosoares","NotApplicable",-1,0,0,"domain",
,"domain::aecweb","aecweb","NotApplicable",-1,0,0,"domain",
,"domain::generonumero.media","generonumero.media","NotApplicable",-1,0,0,"domain",
,"domain::prosangue.sp.gov.br","prosangue.sp.gov.br","NotApplicable",-1,0,0,"domain",
,"domain::deolhonosruralistas","deolhonosruralistas","NotApplicable",-1,0,0,"domain",
,"domain::ptmt","ptmt","NotApplicable",-1,0,0,"domain",
,"domain::jaboticabal.sp.gov.br","jaboticabal.sp.gov.br","NotApplicable",-1,0,0,"domain",
,"domain::fatoreal.blog.br","fatoreal.blog.br","NotApplicable",-1,0,0,"domain",
,"domain::alimentacaosaudavel","alimentacaosaudavel","NotApplicable",-1,0,0,"domain",
,"domain::revistaatencao","revistaatencao","NotApplicable",-1,0,0,"domain",
,"domain::umuaramanews","umuaramanews","NotApplicable",-1,0,0,"domain",
,"domain::roraimaemfoco","roraimaemfoco","NotApplicable",-1,0,0,"domain",
,"domain::nacoesunidas","nacoesunidas","NotApplicable",-1,0,0,"domain",
,"domain::acritica","acritica","NotApplicable",-1,0,0,"domain",
,"domain::goo.gl","goo.gl","NotApplicable",-1,0,0,"domain",
,"domain::novo","novo","NotApplicable",-1,0,0,"domain",
,"domain::diplomatique","diplomatique","NotApplicable",-1,0,0,"domain",
,"domain::blogdafloresta","blogdafloresta","NotApplicable",-1,0,0,"domain",
,"domain::pt-pr","pt-pr","NotApplicable",-1,0,0,"domain",
,"domain::portaldominuto","portaldominuto","NotApplicable",-1,0,0,"domain",
,"domain::anoticia.clicrbs","anoticia.clicrbs","NotApplicable",-1,0,0,"domain",
,"domain::embrapa.br","embrapa.br","NotApplicable",-1,0,0,"domain",
,"domain::blogdobrunolira","blogdobrunolira","NotApplicable",-1,0,0,"domain",
,"domain::fenaj","fenaj","NotApplicable",-1,0,0,"domain",
,"domain::tribunadaserra","tribunadaserra","NotApplicable",-1,0,0,"domain",
,"domain::ricovasconcelos","ricovasconcelos","NotApplicable",-1,0,0,"domain",
,"domain::prbmulher10","prbmulher10","NotApplicable",-1,0,0,"domain",
,"domain::juscatarina","juscatarina","NotApplicable",-1,0,0,"domain",
,"domain::elcaminantehn","elcaminantehn","NotApplicable",-1,0,0,"domain",
,"domain::pbagora","pbagora","NotApplicable",-1,0,0,"domain",
,"domain::ppro","ppro","NotApplicable",-1,0,0,"domain",
,"domain::cultura.ba.gov.br","cultura.ba.gov.br","NotApplicable",-1,0,0,"domain",
,"domain::observatoriodaimprensa","observatoriodaimprensa","NotApplicable",-1,0,0,"domain",
,"domain::setorsaude","setorsaude","NotApplicable",-1,0,0,"domain",
,"domain::goiasurgente","goiasurgente","NotApplicable",-1,0,0,"domain",
,"domain::lpbraganca","lpbraganca","NotApplicable",-1,0,0,"domain",
,"domain::revistaceara","revistaceara","NotApplicable",-1,0,0,"domain",
,"domain::ptnosenado","ptnosenado","NotApplicable",-1,0,0,"domain",
,"domain::tvprefeito","tvprefeito","NotApplicable",-1,0,0,"domain",
,"domain::herculanopassos","herculanopassos","NotApplicable",-1,0,0,"domain",
,"domain::conexaororaima","conexaororaima","NotApplicable",-1,0,0,"domain",
,"domain::robertodelucena","robertodelucena","NotApplicable",-1,0,0,"domain",
,"domain::vestibular","vestibular","NotApplicable",-1,0,0,"domain",
,"domain::metropolitanafm","metropolitanafm","NotApplicable",-1,0,0,"domain",
,"domain::youtu.be","youtu.be","NotApplicable",-1,0,0,"domain",
,"domain::jcconcursos","jcconcursos","NotApplicable",-1,0,0,"domain",
