Id	Label	author	party	state	PEC135	ideology_2021	louvain_community	degree	strength	total_posts	total_engagement	mean_engagement	Q1	Q2	is_wolf
23rubensbueno	Rubens Bueno	23rubensbueno	CIDADANIA	PR	0	-0.014	1	0	0	25	4433	177.32	6	1	0
tabataamaralSP	Tabata Amaral	tabataamaralSP	PSB	SP	0	-0.427	2	22	22	96	246691	2569.6979166666665	19	12	0
marceloramosam	Marcelo Ramos	marceloramosam	PSD	AM	0	0.296	2	16	16	61	25485	417.78688524590166	8	4	0
terezacristinams	Tereza Cristina	terezacristinams	DEM	MS	0	0.431	2	15	15	20	13197	659.85	2	0	0
leitesidney	Sidney Leite	leitesidney	PSD	AM	0	0.296	2	12	12	27	9590	355.18518518518516	4	1	0
deputadofederalzesilva	Deputado Federal Zé Silva	deputadofederalzesilva	SOLIDARIEDADE	MG	0	0.19	2	11	11	29	1804	62.206896551724135	8	0	0
sergiosouzaPR	Sérgio Souza	sergiosouzaPR	MDB	PR	1	0.137	2	10	10	34	5526	162.52941176470588	2	1	0
greyce.elias	Greyce Elias	greyce.elias	AVANTE	MG	1	0.455	2	9	9	14	2374	169.57142857142858	3	3	1
marceloaro	Marcelo Aro	marceloaro	PP	MG	0	0.51	2	8	8	10	2877	287.7	1	0	0
DepSilas	Silas Câmara 1010	DepSilas	REPUBLICANOS	AM	1	0.55	2	7	7	31	4681	151	5	5	1
deputadogiovanicherini	Giovani Cherini	deputadogiovanicherini	PL	RS	1	0.493	2	7	7	43	10095	234.7674418604651	12	4	1
pinheirinhomg	Pinheirinho Deputado Federal	pinheirinhomg	PP	MG	0	0.51	2	7	7	8	16575	2071.875	0	0	0
zevitorMG	Zé Vitor	zevitorMG	PL	MG	1	0.493	2	7	7	1	226	226	0	0	0
herciliocoelhodinizoficial	Hercílio Coelho Diniz	herciliocoelhodinizoficial	MDB	MG	1	0.137	2	6	6	11	5102	463.8181818181818	3	1	0
AfonsoMottaOpina	Afonso Motta	AfonsoMottaOpina	PDT	RS	0	-0.356	2	4	4	27	5609	207.74074074074073	4	1	0
depalceumoreira	Alceu Moreira	depalceumoreira	MDB	RS	1	0.137	2	4	4	47	22060	469.36170212765956	8	7	1
deputadoarnaldojardim	Deputado Arnaldo Jardim	deputadoarnaldojardim	CIDADANIA	SP	0	-0.014	2	4	4	25	1200	48	5	0	0
deputadobiolchi	Márcio Biolchi	deputadobiolchi	MDB	RS	1	0.137	2	4	4	7	781	111.57142857142857	3	0	0
diegoandrademg	Diego Andrade	diegoandrademg	PSD	MG	1	0.296	2	4	4	14	2981	212.92857142857142	2	1	0
wilsonsantiagopb	Wilson Santiago	wilsonsantiagopb	REPUBLICANOS	PB	0	0.55	2	4	4	1	31	31	0	0	0
cassioandrade40	Cássio Andrade	cassioandrade40	PSB	PA	0	-0.427	2	3	3	4	354	88.5	0	0	0
depafonsohamm	Afonso Hamm	depafonsohamm	PP	RS	0	0.51	2	3	3	10	5018	501.8	0	0	0
deputado.atilalins	Deputado Átila Lins	deputado.atilalins	PSD	AM	1	0.296	2	3	3	7	2077	296.7142857142857	0	0	0
emidinhomadeira	Emidinho Madeira	emidinhomadeira	PL	MG	1	0.493	2	3	3	83	42168	508.04819277108436	3	1	0
evair.vieirademelo	Evair Vieira de Melo	evair.vieirademelo	PP	ES	1	0.51	2	3	3	94	16697	177.62765957446808	15	7	1
abiackelpaulo	Paulo Abi-Ackel	abiackelpaulo	PSDB	MG	0	0.157	2	2	2	21	1626	77.42857142857143	8	3	0
AecioNevesOficial	Aécio Neves	AecioNevesOficial	PSDB	MG	0	0.157	2	2	2	5	4028	805.6	0	0	0
antoniobritobahia	antoniobritobahia	antoniobritobahia	NotAvailable	NotAvailable	0		2	2	2	0	0	0	0	0	0
cassioandrade4011	Cássio Andrade 4011	cassioandrade4011	PSB	PA	0	-0.427	2	2	2	11	715	65	2	1	0
christino.aureo	Christino Áureo	christino.aureo	PP	RJ	0	0.51	2	2	2	39	4178	107.12820512820512	5	0	0
DrFredericoMG	Dr. Frederico	DrFredericoMG	PATRIOTA	MG	1	0.455	2	2	2	8	7290	911.25	4	4	1
luizaogoulartpr	Luizão Goulart	luizaogoulartpr	SOLIDARIEDADE	PR	0	0.19	2	2	2	28	10961	391.4642857142857	8	1	0
